Date,Destination,Ping,Lost,Measurment,Error
2021-11-30 23:06:09.006245,iperf.scottlinux.com,"[0.15828466415405273, 0.1576690673828125, 0.1578068733215332, 0.15816450119018555, 0.1578505039215088, 0.15743207931518555, 0.1577777862548828, 0.15747857093811035, 0.1576833724975586, 0.158217191696167, 0.15761375427246094, 0.1577157974243164, 0.15800905227661133, 0.15775489807128906, 0.15783929824829102, 0.1582355499267578, 0.15773272514343262, 0.15749812126159668, 0.15750741958618164, 0.15826702117919922]",0.0,20,0
2021-11-30 23:06:10.046708,iperf.eenet.ee,"[0.04256939888000488, 0.04257917404174805, 0.041924476623535156, 0.042990684509277344, 0.04222297668457031, 0.04179549217224121, 0.04211282730102539, 0.04198431968688965, 0.042191505432128906, 0.041748762130737305, 0.04198193550109863, 0.04222536087036133, 0.042018890380859375, 0.04177093505859375, 0.04234743118286133, 0.04204845428466797, 0.041989803314208984, 0.04194903373718262, 0.04204058647155762, 0.04226946830749512]",0.0,20,0
2021-11-30 23:06:12.208137,speedtest.uztelecom.uz,"[0.09704017639160156, 0.09680914878845215, 0.09654927253723145, 0.09664583206176758, 0.09790492057800293, 0.09641218185424805, 0.0966031551361084, 0.09646821022033691, 0.09645581245422363, 0.0967097282409668, 0.09655046463012695, 0.09657955169677734, 0.09752368927001953, 0.09663796424865723, 0.09670591354370117, 0.09667778015136719, 0.09673023223876953, 0.09686040878295898, 0.09650111198425293, 0.09659481048583984]",0.0,20,0
2021-11-30 23:06:12.943463,lille.testdebit.info,"[0.02707386016845703, 0.026844024658203125, 0.026710033416748047, 0.026895999908447266, 0.026740074157714844, 0.026597976684570312, 0.02675652503967285, 0.026866436004638672, 0.02661919593811035, 0.02681422233581543, 0.027225255966186523, 0.027163028717041016, 0.02678656578063965, 0.026781320571899414, 0.02730584144592285, 0.026752471923828125, 0.02762007713317871, 0.026845216751098633, 0.026926279067993164, 0.026868343353271484]",0.0,20,0
2021-11-30 23:06:17.446475,speedtest.serverius.net,"[0.015756845474243164, 0.015268087387084961, 0.015532493591308594, 0.015626907348632812, 0.015625, 0.015277862548828125, 'NaN', 0.015414714813232422, 0.015512228012084961, 0.015476465225219727, 0.01546168327331543, 0.016129493713378906, 0.015587091445922852, 0.01570582389831543, 0.015449762344360352, 0.01553964614868164, 0.015581607818603516, 0.015660524368286133, 0.015395164489746094, 0.015590429306030273]",0.05,20,0
2021-11-30 23:12:07.844952,iperf.biznetnetworks.com,"[0.17914557456970215, 0.17824482917785645, 0.1783158779144287, 0.1784515380859375, 0.1782228946685791, 0.17841649055480957, 0.17926287651062012, 0.1781907081604004, 0.17816805839538574, 0.17823100090026855, 0.17815780639648438, 0.17822766304016113, 0.17816376686096191, 0.17819952964782715, 0.178358793258667, 0.17837166786193848, 0.17845773696899414, 0.17830419540405273, 0.17935395240783691, 0.17843389511108398]",0.0,20,0
2021-11-30 23:12:11.246378,iperf.scottlinux.com,"[0.1576681137084961, 0.15766477584838867, 0.15752434730529785, 0.15752124786376953, 0.1576378345489502, 0.15768122673034668, 0.15769243240356445, 0.15753459930419922, 0.15760564804077148, 0.15775346755981445, 0.1577756404876709, 0.15759873390197754, 0.1576707363128662, 0.15746402740478516, 0.1576986312866211, 0.1574709415435791, 0.15756702423095703, 0.15750980377197266, 0.15784907341003418, 0.15751433372497559]",0.0,20,0
2021-11-30 23:12:12.298832,iperf.eenet.ee,"[0.04246115684509277, 0.0420987606048584, 0.04211258888244629, 0.043247222900390625, 0.041979312896728516, 0.042296409606933594, 0.04198312759399414, 0.04191923141479492, 0.04236912727355957, 0.04218268394470215, 0.04220175743103027, 0.04240131378173828, 0.04240846633911133, 0.04214835166931152, 0.04221367835998535, 0.0422666072845459, 0.04278969764709473, 0.04287981986999512, 0.04223203659057617, 0.04193687438964844]",0.0,20,0
2021-11-30 23:12:14.458738,speedtest.uztelecom.uz,"[0.09722733497619629, 0.09691143035888672, 0.09682869911193848, 0.09655904769897461, 0.09646296501159668, 0.09645438194274902, 0.09676051139831543, 0.09658360481262207, 0.09697866439819336, 0.0966651439666748, 0.09736347198486328, 0.0964822769165039, 0.09673047065734863, 0.09659481048583984, 0.09669995307922363, 0.09686613082885742, 0.09676861763000488, 0.09722042083740234, 0.09679365158081055, 0.09682130813598633]",0.0,20,0
2021-11-30 23:12:15.195876,lille.testdebit.info,"[0.02692890167236328, 0.026958703994750977, 0.026813507080078125, 0.026746273040771484, 0.026967763900756836, 0.02711653709411621, 0.026996850967407227, 0.026930570602416992, 0.02671194076538086, 0.026973485946655273, 0.02665114402770996, 0.026909828186035156, 0.027037382125854492, 0.02675175666809082, 0.02666330337524414, 0.02686166763305664, 0.027252912521362305, 0.0271453857421875, 0.026775598526000977, 0.02756023406982422]",0.0,20,0
2021-11-30 23:12:19.713300,speedtest.serverius.net,"[0.015808820724487305, 0.016233205795288086, 0.015580892562866211, 0.015491962432861328, 0.016172409057617188, 0.016569852828979492, 'NaN', 0.01561284065246582, 0.016645431518554688, 0.016256093978881836, 0.015512466430664062, 0.015597343444824219, 0.015619277954101562, 0.016139984130859375, 0.015403032302856445, 0.01551508903503418, 0.015877962112426758, 0.015733718872070312, 0.015431880950927734, 0.015660762786865234]",0.05,20,0
2021-11-30 23:18:13.020030,iperf.biznetnetworks.com,"[0.17872381210327148, 0.17826485633850098, 0.17833495140075684, 0.17839455604553223, 0.17810392379760742, 0.17826414108276367, 0.17827868461608887, 0.1783907413482666, 0.17949247360229492, 0.17832040786743164, 0.17869329452514648, 0.1780078411102295, 0.1784987449645996, 0.17854547500610352, 0.17831969261169434, 0.17804574966430664, 0.1784214973449707, 0.17833328247070312, 0.1781599521636963, 0.17805814743041992]",0.0,20,0
2021-11-30 23:18:16.424063,iperf.scottlinux.com,"[0.15764355659484863, 0.15768718719482422, 0.1574573516845703, 0.15752863883972168, 0.15757393836975098, 0.1578812599182129, 0.15781211853027344, 0.15754199028015137, 0.15788507461547852, 0.15766263008117676, 0.15771746635437012, 0.1576526165008545, 0.15761709213256836, 0.15858817100524902, 0.15761280059814453, 0.1581120491027832, 0.15748357772827148, 0.15754175186157227, 0.1577742099761963, 0.15784430503845215]",0.0,20,0
2021-11-30 23:18:17.467989,iperf.eenet.ee,"[0.04300284385681152, 0.04201388359069824, 0.04256033897399902, 0.04204225540161133, 0.042331695556640625, 0.04221391677856445, 0.0423283576965332, 0.04234457015991211, 0.04259467124938965, 0.04232382774353027, 0.04246973991394043, 0.04223036766052246, 0.042069196701049805, 0.04213523864746094, 0.0428156852722168, 0.042308807373046875, 0.04233431816101074, 0.04242444038391113, 0.042337656021118164, 0.04226350784301758]",0.0,20,0
2021-11-30 23:18:20.410169,speedtest.uztelecom.uz,"[0.09684062004089355, 0.09691333770751953, 0.0970613956451416, 0.09677720069885254, 0.0966036319732666, 0.09653186798095703, 0.09675359725952148, 0.0964968204498291, 0.09671378135681152, 0.09669756889343262, 0.09744143486022949, 0.09650182723999023, 0.09762287139892578, 0.09653449058532715, 0.09660601615905762, 0.0962820053100586, 0.09711861610412598, 0.09671497344970703, 0.09657812118530273, 0.09705853462219238]",0.0,20,0
2021-11-30 23:18:21.221144,lille.testdebit.info,"[0.0270535945892334, 0.027178287506103516, 0.027391433715820312, 0.026942014694213867, 0.026942968368530273, 0.027035236358642578, 0.026793956756591797, 0.027058124542236328, 0.02687668800354004, 0.02706766128540039, 0.02697277069091797, 0.026837825775146484, 0.026910066604614258, 0.026729106903076172, 0.026724815368652344, 0.027095556259155273, 0.026728391647338867, 0.026869773864746094, 0.026718854904174805, 0.027081012725830078]",0.0,20,0
2021-11-30 23:18:25.777799,speedtest.serverius.net,"[0.015711307525634766, 0.015568256378173828, 0.01552438735961914, 0.015453577041625977, 0.015492916107177734, 0.015899658203125, 0.015451908111572266, 0.015698671340942383, 0.015539169311523438, 0.015497207641601562, 0.015535354614257812, 'NaN', 0.015477418899536133, 0.01535487174987793, 0.01559591293334961, 0.015489339828491211, 0.01589488983154297, 0.015703201293945312, 0.015474081039428711, 0.015757322311401367]",0.05,20,0
2021-11-30 23:24:07.136344,iperf.biznetnetworks.com,"[0.17929816246032715, 0.17853188514709473, 0.17828011512756348, 0.17861151695251465, 0.17850685119628906, 0.1779918670654297, 0.17839646339416504, 0.17807364463806152, 0.17871522903442383, 0.17824077606201172, 0.17838406562805176, 0.17828941345214844, 0.1781454086303711, 0.1781771183013916, 0.1782996654510498, 0.1782536506652832, 0.17845559120178223, 0.1783156394958496, 0.17833995819091797, 0.17828893661499023]",0.0,20,0
2021-11-30 23:24:10.531446,iperf.scottlinux.com,"[0.15836548805236816, 0.15741944313049316, 0.15770459175109863, 0.15810108184814453, 0.15759682655334473, 0.15740442276000977, 0.1578822135925293, 0.1578998565673828, 0.15751290321350098, 0.15786385536193848, 0.15740275382995605, 0.15768790245056152, 0.15732240676879883, 0.15795230865478516, 0.15770506858825684, 0.15735721588134766, 0.15770959854125977, 0.15746426582336426, 0.15750980377197266, 0.15789008140563965]",0.0,20,0
2021-11-30 23:24:11.578629,iperf.eenet.ee,"[0.0426335334777832, 0.04232001304626465, 0.042330265045166016, 0.0421602725982666, 0.042261600494384766, 0.0420682430267334, 0.04244852066040039, 0.04229426383972168, 0.041905879974365234, 0.04231572151184082, 0.04197955131530762, 0.04228925704956055, 0.04203295707702637, 0.04218101501464844, 0.042060136795043945, 0.04189777374267578, 0.04227757453918457, 0.041907310485839844, 0.04239201545715332, 0.04222750663757324]",0.0,20,0
2021-11-30 23:24:13.749672,speedtest.uztelecom.uz,"[0.09715151786804199, 0.09688019752502441, 0.09650945663452148, 0.09643912315368652, 0.09690046310424805, 0.09692144393920898, 0.09668087959289551, 0.09662580490112305, 0.09689974784851074, 0.09651851654052734, 0.09651827812194824, 0.09697961807250977, 0.09643959999084473, 0.09668564796447754, 0.09719681739807129, 0.09664154052734375, 0.09662413597106934, 0.0970621109008789, 0.09673738479614258, 0.0968325138092041]",0.0,20,0
2021-11-30 23:24:14.483922,lille.testdebit.info,"[0.028035879135131836, 0.027412891387939453, 0.026949405670166016, 0.027586936950683594, 0.02667379379272461, 0.02716803550720215, 0.02675318717956543, 0.02652287483215332, 0.027300357818603516, 0.026902437210083008, 0.027273893356323242, 0.027126312255859375, 0.02682042121887207, 0.027615785598754883, 0.026845216751098633, 0.02692556381225586, 0.026638507843017578, 0.0270235538482666, 0.02714681625366211, 0.02694082260131836]",0.0,20,0
2021-11-30 23:24:18.996003,speedtest.serverius.net,"[0.015899658203125, 0.01580190658569336, 0.015486955642700195, 0.015451908111572266, 0.015588998794555664, 0.01591014862060547, 'NaN', 0.015512466430664062, 0.015683412551879883, 0.015547990798950195, 0.015827655792236328, 0.015392541885375977, 0.015525579452514648, 0.015608549118041992, 0.015580892562866211, 0.015297889709472656, 0.015455961227416992, 0.015395402908325195, 0.015375852584838867, 0.015381097793579102]",0.05,20,0
