Date,Destination,Ping,Lost,Measurment,Error
2021-11-27 13:54:23.675352,speedtest.serverius.net,"[0.05295133590698242, 0.053498029708862305, 0.053504228591918945, 0.05372881889343262, 0.05351519584655762, 0.05385136604309082, 0.0536806583404541, 0.05376100540161133, 0.05341529846191406, 0.052845001220703125, 0.0534977912902832, 0.054103851318359375, 0.05307126045227051, 0.053418874740600586, 0.05360102653503418, 0.05432486534118652, 0.05286431312561035, 0.05352282524108887, 0.05355405807495117, 0.054141998291015625]",0.0,20,0
2021-11-27 14:00:13.805719,iperf.biznetnetworks.com,"[0.28400278091430664, 0.2847750186920166, 0.2854783535003662, 0.28534865379333496, 0.2853400707244873, 0.28522682189941406, 0.28548741340637207, 0.285355806350708, 0.28532981872558594, 0.2855188846588135, 0.28526949882507324, 0.28537821769714355, 0.2850992679595947, 0.29538702964782715, 0.2771482467651367, 0.27804112434387207, 0.278428316116333, 0.27730536460876465, 0.2774012088775635, 0.2773873805999756]",0.0,20,0
2021-11-27 14:00:17.725767,iperf.scottlinux.com,"[0.19304990768432617, 0.19342947006225586, 0.19309473037719727, 0.19321846961975098, 0.19348406791687012, 0.19334793090820312, 0.19354963302612305, 0.19341635704040527, 0.1932830810546875, 0.19350051879882812, 0.1934363842010498, 0.19332337379455566, 0.19323468208312988, 0.1934523582458496, 0.19338274002075195, 0.19337701797485352, 0.1935100555419922, 0.19310450553894043, 0.19330787658691406, 0.1934823989868164]",0.0,20,0
2021-11-27 14:00:19.219128,iperf.eenet.ee,"[0.07235312461853027, 0.0725092887878418, 0.07279825210571289, 0.07306432723999023, 0.07272148132324219, 0.07306337356567383, 0.0729067325592041, 0.07294917106628418, 0.07293987274169922, 0.07305622100830078, 0.07251381874084473, 0.07210326194763184, 0.07212567329406738, 0.0722808837890625, 0.07213091850280762, 0.07211446762084961, 0.07242989540100098, 0.07199954986572266, 0.07225346565246582, 0.07185053825378418]",0.0,20,0
2021-11-27 14:00:22.018820,speedtest.uztelecom.uz,"[0.1369609832763672, 0.13731718063354492, 0.13748455047607422, 0.13733696937561035, 0.13753533363342285, 0.13746190071105957, 0.13730168342590332, 0.1373136043548584, 0.13743209838867188, 0.1373910903930664, 0.13739776611328125, 0.13739848136901855, 0.13759875297546387, 0.13716459274291992, 0.13721275329589844, 0.13717317581176758, 0.1374683380126953, 0.13691353797912598, 0.13785576820373535, 0.1381537914276123]",0.0,20,0
2021-11-27 14:00:23.185879,lille.testdebit.info,"[0.054015159606933594, 0.05416226387023926, 0.05435299873352051, 0.05421781539916992, 0.05455327033996582, 0.06415843963623047, 0.06298375129699707, 0.062261343002319336, 0.05371284484863281, 0.07223343849182129, 0.053644418716430664, 0.05328369140625, 0.05339455604553223, 0.053510427474975586, 0.0535736083984375, 0.053694963455200195, 0.053542137145996094, 0.053359031677246094, 0.05343008041381836, 0.05355095863342285]",0.0,20,0
2021-11-27 14:00:24.305822,speedtest.serverius.net,"[0.05274534225463867, 0.05342411994934082, 0.053253173828125, 0.053580522537231445, 0.053435564041137695, 0.05368924140930176, 0.05357217788696289, 0.0533442497253418, 0.05336928367614746, 0.05345582962036133, 0.053510427474975586, 0.053420066833496094, 0.05339193344116211, 0.05340075492858887, 0.05355048179626465, 0.05339694023132324, 0.05355334281921387, 0.053583383560180664, 0.053362369537353516, 0.053513526916503906]",0.0,20,0
2021-11-27 14:06:16.403443,iperf.biznetnetworks.com,"[0.3253345489501953, 0.32473039627075195, 0.3155195713043213, 0.32635951042175293, 0.3253905773162842, 0.33336544036865234, 0.3172740936279297, 0.32557034492492676, 0.3251380920410156, 0.32532548904418945, 0.32533740997314453, 0.32537293434143066, 0.3333272933959961, 0.32530975341796875, 0.32533764839172363, 0.3252716064453125, 0.32549333572387695, 'NaN', 0.34119248390197754, 0.3253912925720215]",0.05,20,0
2021-11-27 14:06:20.251259,iperf.scottlinux.com,"[0.18852663040161133, 0.18960285186767578, 0.18924760818481445, 0.18938064575195312, 0.18890786170959473, 0.18940329551696777, 0.18883109092712402, 0.1899280548095703, 0.18998503684997559, 0.19027471542358398, 0.19025874137878418, 0.18981575965881348, 0.18922758102416992, 0.18931269645690918, 0.1894524097442627, 0.18940091133117676, 0.1894845962524414, 0.1972789764404297, 0.18949031829833984, 0.18926548957824707]",0.0,20,0
2021-11-27 14:06:21.723232,iperf.eenet.ee,"[0.06900334358215332, 0.06941390037536621, 0.06952786445617676, 0.06940865516662598, 0.07738542556762695, 0.06944417953491211, 0.06956696510314941, 0.06936502456665039, 0.0696268081665039, 0.07742071151733398, 0.0687258243560791, 0.06934881210327148, 0.06936979293823242, 0.08529901504516602, 0.0698540210723877, 0.06940412521362305, 0.06941866874694824, 0.0696101188659668, 0.06897735595703125, 0.07019448280334473]",0.0,20,0
2021-11-27 14:06:24.451368,speedtest.uztelecom.uz,"[0.13372516632080078, 0.13405609130859375, 0.13418173789978027, 0.13415169715881348, 0.13441181182861328, 0.14216160774230957, 0.13345623016357422, 0.13316750526428223, 0.13344192504882812, 0.13341331481933594, 0.13344621658325195, 0.13354277610778809, 0.1333174705505371, 0.13354134559631348, 0.1334521770477295, 0.13347744941711426, 0.13353967666625977, 0.13321876525878906, 0.13337445259094238, 0.1334693431854248]",0.0,20,0
2021-11-27 14:06:25.579249,lille.testdebit.info,"[0.053005218505859375, 0.05344581604003906, 0.05337691307067871, 0.061376333236694336, 0.05349421501159668, 0.053424835205078125, 0.053449153900146484, 0.05352282524108887, 0.05359315872192383, 0.053449392318725586, 0.05350327491760254, 0.053061485290527344, 0.05334591865539551, 0.053499698638916016, 0.05343961715698242, 0.05349850654602051, 0.053476810455322266, 0.05355405807495117, 0.053592681884765625, 0.05331540107727051]",0.0,20,0
2021-11-27 14:06:26.715360,speedtest.serverius.net,"[0.05301308631896973, 0.053568363189697266, 0.053460121154785156, 0.0536043643951416, 0.05340886116027832, 0.0616452693939209, 0.05368614196777344, 0.053544044494628906, 0.05345773696899414, 0.053507328033447266, 0.053582191467285156, 0.06150031089782715, 0.05352616310119629, 0.053469181060791016, 0.05361127853393555, 0.053548574447631836, 0.05360674858093262, 0.05359029769897461, 0.05312490463256836, 0.05354928970336914]",0.0,20,0
2021-11-27 14:12:17.667565,iperf.biznetnetworks.com,"[0.2854743003845215, 0.2861013412475586, 0.2869260311126709, 0.2868015766143799, 0.28669047355651855, 0.28685569763183594, 0.28672289848327637, 0.28672218322753906, 0.28680419921875, 0.28690385818481445, 0.28673768043518066, 0.2865724563598633, 'NaN', 0.26532506942749023, 0.26920056343078613, 0.2693967819213867, 0.2692434787750244, 0.2695960998535156, 0.269162654876709, 0.2695024013519287]",0.05,20,0
2021-11-27 14:12:21.347174,iperf.scottlinux.com,"[0.17998075485229492, 0.18194890022277832, 0.18198847770690918, 0.18209362030029297, 0.182265043258667, 0.1811690330505371, 0.18151640892028809, 0.18149685859680176, 0.17333054542541504, 0.1815502643585205, 0.18145012855529785, 0.18137359619140625, 0.18946075439453125, 0.18133878707885742, 0.1814713478088379, 0.1812891960144043, 0.18138957023620605, 0.18149590492248535, 0.1812744140625, 0.18131232261657715]",0.0,20,0
2021-11-27 14:12:22.603260,iperf.eenet.ee,"[0.060669898986816406, 0.05942869186401367, 0.06177020072937012, 0.06147456169128418, 0.06125140190124512, 0.06192970275878906, 0.061934709548950195, 0.06206703186035156, 0.06237936019897461, 0.062265634536743164, 0.062330007553100586, 0.06204867362976074, 0.062184810638427734, 0.05427861213684082, 0.05431485176086426, 0.05444955825805664, 0.06242179870605469, 0.061789751052856445, 0.06155824661254883, 0.06161689758300781]",0.0,20,0
2021-11-27 14:12:25.179207,speedtest.uztelecom.uz,"[0.12505817413330078, 0.1253056526184082, 0.12540340423583984, 0.12548279762268066, 0.1255791187286377, 0.12525224685668945, 0.1334381103515625, 0.12532806396484375, 0.1255636215209961, 0.12528419494628906, 0.12558388710021973, 0.12532806396484375, 0.12534165382385254, 0.12557101249694824, 0.1254441738128662, 0.12541508674621582, 0.13344550132751465, 0.1254868507385254, 0.1253964900970459, 0.12536859512329102]",0.0,20,0
2021-11-27 14:12:26.003153,lille.testdebit.info,"[0.03700137138366699, 0.037355899810791016, 0.0455319881439209, 0.03770112991333008, 0.03800225257873535, 0.03750014305114746, 0.03742504119873047, 0.03772139549255371, 0.03750729560852051, 0.03788352012634277, 0.03774738311767578, 0.03714251518249512, 0.0456082820892334, 0.03726005554199219, 0.04559803009033203, 0.03740882873535156, 0.03748893737792969, 0.036715030670166016, 0.03751373291015625, 0.03772258758544922]",0.0,20,0
2021-11-27 14:12:26.811060,speedtest.serverius.net,"[0.03694748878479004, 0.0376434326171875, 0.03807878494262695, 0.03726530075073242, 0.037618398666381836, 0.04538559913635254, 0.03772163391113281, 0.037877559661865234, 0.037558794021606445, 0.037593841552734375, 0.03754544258117676, 0.03769659996032715, 0.03795337677001953, 0.03737211227416992, 0.03649640083312988, 0.03745436668395996, 0.03762960433959961, 0.03726530075073242, 0.03805136680603027, 0.0367741584777832]",0.0,20,0
2021-11-27 14:18:12.219354,iperf.biznetnetworks.com,"[0.2974529266357422, 0.28727245330810547, 0.2872931957244873, 0.2869560718536377, 0.2866387367248535, 0.28664326667785645, 0.29645872116088867, 0.2864208221435547, 0.2866039276123047, 0.29593515396118164, 0.29619383811950684, 0.28642964363098145, 0.30542802810668945, 0.2869992256164551, 0.2864823341369629, 0.2866392135620117, 0.29609060287475586, 0.286989688873291, 0.28624486923217773, 0.27765512466430664]",0.0,20,0
2021-11-27 14:18:16.059430,iperf.scottlinux.com,"[0.18942666053771973, 0.1900951862335205, 0.18998122215270996, 0.1904442310333252, 0.1891155242919922, 0.18947219848632812, 0.18957161903381348, 0.1894078254699707, 0.18918347358703613, 0.18950986862182617, 0.18924283981323242, 0.18959593772888184, 0.18954825401306152, 0.18921685218811035, 0.18935823440551758, 0.18957757949829102, 0.18938994407653809, 0.1894681453704834, 0.18913912773132324, 0.18956255912780762]",0.0,20,0
2021-11-27 14:18:17.499410,iperf.eenet.ee,"[0.06889533996582031, 0.06942129135131836, 0.06951570510864258, 0.0693058967590332, 0.06946706771850586, 0.06950497627258301, 0.06951427459716797, 0.06950664520263672, 0.06952428817749023, 0.06952214241027832, 0.06949400901794434, 0.06966805458068848, 0.06949043273925781, 0.0693058967590332, 0.06906962394714355, 0.06964325904846191, 0.06950783729553223, 0.06916594505310059, 0.06961798667907715, 0.0693197250366211]",0.0,20,0
2021-11-27 14:18:20.227378,speedtest.uztelecom.uz,"[0.13709545135498047, 0.12908005714416504, 0.13384246826171875, 0.14203786849975586, 0.13426756858825684, 0.1343693733215332, 0.1342012882232666, 0.13409852981567383, 0.13344836235046387, 0.13364553451538086, 0.13353943824768066, 0.13315486907958984, 0.13338112831115723, 0.13374829292297363, 0.13332533836364746, 0.13361692428588867, 0.13342905044555664, 0.13363146781921387, 0.13340449333190918, 0.1334693431854248]",0.0,20,0
2021-11-27 14:18:21.347498,lille.testdebit.info,"[0.05301165580749512, 0.053368568420410156, 0.05365324020385742, 0.05334639549255371, 0.05358576774597168, 0.05359005928039551, 0.05363798141479492, 0.05344700813293457, 0.05363106727600098, 0.053450584411621094, 0.05369138717651367, 0.05357050895690918, 0.05354619026184082, 0.0533747673034668, 0.05321025848388672, 0.05348396301269531, 0.05348491668701172, 0.053447723388671875, 0.0534670352935791, 0.053521156311035156]",0.0,20,0
2021-11-27 14:18:22.307036,speedtest.serverius.net,"[0.04474163055419922, 0.0454411506652832, 0.04523110389709473, 0.045783281326293945, 0.04547595977783203, 0.04542112350463867, 0.04533243179321289, 0.045977115631103516, 0.0461583137512207, 0.045762062072753906, 0.046358346939086914, 0.04628133773803711, 0.04619121551513672, 0.04622077941894531, 0.04614758491516113, 0.046282291412353516, 0.0464024543762207, 0.04624199867248535, 0.04642176628112793, 0.04637002944946289]",0.0,20,0
2021-11-27 14:24:14.025313,iperf.biznetnetworks.com,"[0.2832973003387451, 0.27924275398254395, 0.28008151054382324, 0.2959737777709961, 0.28002166748046875, 0.28012585639953613, 0.2800109386444092, 0.2853245735168457, 0.2802703380584717, 0.28615450859069824, 0.2793552875518799, 0.286135196685791, 0.2844576835632324, 0.32141828536987305, 0.27784228324890137, 0.27822303771972656, 0.2777137756347656, 0.28546571731567383, 0.2851591110229492, 0.2854344844818115]",0.0,20,0
2021-11-27 14:24:18.017019,iperf.scottlinux.com,"[0.19653701782226562, 0.19762420654296875, 0.1971607208251953, 0.19747257232666016, 0.19763660430908203, 0.19732403755187988, 0.19759654998779297, 0.19718527793884277, 0.19745421409606934, 0.19751715660095215, 0.19731545448303223, 0.19761872291564941, 0.19722914695739746, 0.1971898078918457, 0.19753170013427734, 0.19712424278259277, 0.19731569290161133, 0.19741582870483398, 0.19371247291564941, 0.18995451927185059]",0.0,20,0
2021-11-27 14:24:19.553207,iperf.eenet.ee,"[0.0696258544921875, 0.07012081146240234, 0.0704340934753418, 0.07035613059997559, 0.07036042213439941, 0.07038116455078125, 0.07034873962402344, 0.07745146751403809, 0.07741355895996094, 0.07745933532714844, 0.0696098804473877, 0.07762479782104492, 0.07744526863098145, 0.07729697227478027, 0.07751250267028809, 0.07751154899597168, 0.07760310173034668, 0.0774698257446289, 0.07759475708007812, 0.07766032218933105]",0.0,20,0
2021-11-27 14:24:22.384908,speedtest.uztelecom.uz,"[0.14078664779663086, 0.14127302169799805, 0.1415390968322754, 0.13358449935913086, 0.14136981964111328, 0.1415703296661377, 0.14148688316345215, 0.14134860038757324, 0.14135289192199707, 0.14149975776672363, 0.14032936096191406, 0.1411886215209961, 0.14128327369689941, 0.1412639617919922, 0.14107847213745117, 0.1337418556213379, 0.13412880897521973, 0.13413429260253906, 0.1340794563293457, 0.13439226150512695]",0.0,20,0
2021-11-27 14:24:23.657124,lille.testdebit.info,"[0.06154513359069824, 0.0537109375, 0.06153988838195801, 0.061499595642089844, 0.061476945877075195, 0.06121015548706055, 0.06139659881591797, 0.06143307685852051, 0.06153726577758789, 0.06161904335021973, 0.06133723258972168, 0.06150078773498535, 0.06150650978088379, 0.06310606002807617, 0.05968117713928223, 0.061463117599487305, 0.06159543991088867, 0.06150007247924805, 0.06145048141479492, 0.0613400936126709]",0.0,20,0
2021-11-27 14:24:24.937058,speedtest.serverius.net,"[0.06084632873535156, 0.06114983558654785, 0.06153678894042969, 0.06155872344970703, 0.061521053314208984, 0.0614323616027832, 0.06141924858093262, 0.06155514717102051, 0.06122398376464844, 0.06161069869995117, 0.061368703842163086, 0.0615694522857666, 0.06154894828796387, 0.06149482727050781, 0.06152820587158203, 0.061287641525268555, 0.06157350540161133, 0.061518192291259766, 0.06140565872192383, 0.0615389347076416]",0.0,20,0
2021-11-27 14:30:07.227078,iperf.biznetnetworks.com,"[0.2758467197418213, 0.2774522304534912, 0.27812623977661133, 0.2920851707458496, 0.2779407501220703]",0.0,20,15
2021-11-27 14:30:07.459145,iperf.scottlinux.com,"[0.29439806938171387, 0.29378795623779297, 0.28623414039611816, 0.2861647605895996, 0.2782907485961914, 0.27846789360046387, 0.27826595306396484, 0.27802586555480957, 0.27837061882019043, 0.27837252616882324, 0.19818496704101562, 0.18947768211364746, 0.18978548049926758, 0.18957209587097168]",0.0,20,6
