Date,Destination,Ping,Lost,Measurment,Error
2021-11-19 21:06:13.854039,iperf.eenet.ee,"[0.06132817268371582, 0.06205606460571289, 0.06176900863647461, 0.062200307846069336, 0.06227421760559082, 0.06222653388977051, 0.06215620040893555, 0.06229066848754883, 0.0619661808013916, 0.06237459182739258, 0.06203413009643555, 0.06150245666503906, 0.06280350685119629, 0.06263279914855957, 0.062402963638305664, 0.06207418441772461, 0.06246447563171387, 0.0622255802154541, 0.0623013973236084, 0.062261343002319336]",0.0,20,0
2021-11-19 21:06:16.476932,speedtest.uztelecom.uz,"[0.12733960151672363, 0.1273949146270752, 0.12758684158325195, 0.1275937557220459, 0.12873029708862305, 0.12741613388061523, 0.1267259120941162, 0.12749695777893066, 0.12774872779846191, 0.1276564598083496, 0.12750983238220215, 0.12762713432312012, 0.127716064453125, 0.12768316268920898, 0.1276395320892334, 0.12778711318969727, 0.12738275527954102, 0.13683199882507324, 0.1276533603668213, 0.1274256706237793]",0.0,20,0
2021-11-19 21:12:03.402109,iperf.par2.as49434.net,"[0.055397748947143555, 0.05340743064880371, 0.053678035736083984, 0.05381512641906738, 0.05380892753601074, 0.06146240234375, 0.05362558364868164, 0.06137228012084961, 0.053598880767822266, 0.05312514305114746, 0.05328226089477539, 0.0530550479888916, 0.05299949645996094, 0.053015947341918945, 0.05282950401306152, 0.05312037467956543, 0.0528416633605957, 0.05304431915283203, 0.05295920372009277, 0.05304598808288574]",0.0,20,0
2021-11-19 21:12:09.049879,iperf.biznetnetworks.com,"[0.27616405487060547, 0.2770071029663086, 0.28493762016296387, 0.27701520919799805, 0.2848682403564453, 0.2766704559326172, 0.2848169803619385, 0.28495359420776367, 0.2769293785095215, 0.2770085334777832, 0.2769031524658203, 0.2769126892089844, 0.2768886089324951, 0.28469371795654297, 0.27694010734558105, 0.2761268615722656, 0.277510404586792, 0.277740478515625, 0.27690553665161133, 0.2848343849182129]",0.0,20,0
2021-11-19 21:12:13.014474,iperf.scottlinux.com,"[0.19651126861572266, 0.19691014289855957, 0.19695186614990234, 0.19695377349853516, 0.20506572723388672, 0.1967451572418213, 0.19684743881225586, 0.1969008445739746, 0.19676995277404785, 0.19688844680786133, 0.19683313369750977, 0.1967020034790039, 0.19688010215759277, 0.1968522071838379, 0.19333505630493164, 0.18514537811279297, 0.18887639045715332, 0.18895673751831055, 0.19249653816223145, 0.1888103485107422]",0.0,20,0
2021-11-19 21:12:14.478359,iperf.eenet.ee,"[0.07242870330810547, 0.07288599014282227, 0.06895303726196289, 0.07249903678894043, 0.06899166107177734, 0.06941747665405273, 0.06925201416015625, 0.07294034957885742, 0.06893563270568848, 0.06915283203125, 0.0689239501953125, 0.06914496421813965, 0.06911206245422363, 0.07289838790893555, 0.06912922859191895, 0.07291674613952637, 0.06899118423461914, 0.06907105445861816, 0.06913089752197266, 0.06898069381713867]",0.0,20,0
2021-11-19 21:12:17.314530,speedtest.uztelecom.uz,"[0.14058399200439453, 0.13709402084350586, 0.14081668853759766, 0.1409623622894287, 0.13693618774414062, 0.13698887825012207, 0.13711977005004883, 0.1369926929473877, 0.14102435111999512, 0.14072155952453613, 0.14089131355285645, 0.13707613945007324, 0.13697099685668945, 0.1370372772216797, 0.13704943656921387, 0.13698649406433105, 0.13705849647521973, 0.1410529613494873, 0.14096713066101074, 0.1408696174621582]",0.0,20,0
2021-11-19 21:18:02.860871,iperf.par2.as49434.net,"[0.04740333557128906, 0.05330252647399902, 0.05390119552612305, 0.05359983444213867, 0.05365157127380371, 0.05351758003234863, 0.05333852767944336, 0.05380988121032715, 0.05367016792297363, 0.05332541465759277, 0.05346989631652832, 0.05287361145019531, 0.052968502044677734, 0.05302619934082031, 0.052283287048339844, 0.051927804946899414, 0.05254483222961426, 0.05275869369506836, 0.05287933349609375, 0.05288815498352051]",0.0,20,0
2021-11-19 21:18:08.460876,iperf.biznetnetworks.com,"[0.27617883682250977, 0.2770657539367676, 0.27677035331726074, 0.27688145637512207, 0.27677273750305176, 0.27695679664611816, 0.2769010066986084, 0.2767653465270996, 0.27685117721557617, 0.27692484855651855, 0.27684926986694336, 0.2766077518463135, 0.27682042121887207, 0.27677130699157715, 0.2768385410308838, 0.2767467498779297, 0.2767601013183594, 0.27640724182128906, 0.27750229835510254, 0.2776980400085449]",0.0,20,0
2021-11-19 21:18:12.271182,iperf.scottlinux.com,"[0.18837332725524902, 0.18891644477844238, 0.18887734413146973, 0.1888589859008789, 0.18902587890625, 0.18880867958068848, 0.1889631748199463, 0.18886971473693848, 0.18918704986572266, 0.18871259689331055, 0.18893146514892578, 0.18885350227355957, 0.18883419036865234, 0.18895196914672852, 0.18886566162109375, 0.1889965534210205, 0.18877077102661133, 0.1889173984527588, 0.17930006980895996, 0.16882848739624023]",0.0,20,0
2021-11-19 21:18:13.354836,iperf.eenet.ee,"[0.05257368087768555, 0.04890131950378418, 0.04896283149719238, 0.048985958099365234, 0.04904890060424805, 0.05294466018676758, 0.05275273323059082, 0.0523686408996582, 0.052880048751831055, 0.05278730392456055, 0.04883861541748047, 0.0489506721496582, 0.052781105041503906, 0.05276155471801758, 0.049298763275146484, 0.052076101303100586, 0.0489811897277832, 0.051965951919555664, 0.052422523498535156, 0.04964280128479004]",0.0,20,0
